Franchise,Films,Mean [$],Total [$]
Ghostbusters,3,246584905.0,739754714.0
Ghoulies,4,8750000.0,35000000.0
Ginger Snaps,3,0.0,0.0
Girl's on Top,2,0.0,0.0
Glass Tiger collection,1,0.0,0.0
Goal!,3,9203624.0,27610873.0
God of Gamblers,1,4762337.0,4762337.0
God's Not Dead,2,26648284.0,53296567.0
Godzilla (Heisei),7,585714.0,4100000.0
Godzilla (Millennium),6,1672898.0,10037390.0
Godzilla (Showa),16,0.0,0.0
Golgo 13,1,0.0,0.0
Golmaal,3,0.0,0.0
Gone in 60 Seconds Trilogy,1,0.0,0.0
Gonin collection,1,0.0,0.0
Goon,2,3241982.0,6483963.0
Goopy Bagha Trilogy,1,0.0,0.0
Gor,2,0.0,0.0
Gourmet Detective,3,0.0,0.0
Grave Encounters,2,0.0,0.0
Grease,2,98492623.0,196985246.0
Green Street Hooligans,3,1051449.0,3154346.0
Grey Gardens,2,0.0,0.0
Grindhouse,2,12518948.0,25037897.0
Grown Ups,2,259207234.0,518414467.0
Grumpy Old Men,2,0.0,0.0
Guardians of the Galaxy,2,818372385.0,1636744770.0
Guinea Pig,2,0.0,0.0
Gumball 3000,1,0.0,0.0
Gunbuster,1,0.0,0.0
Gwendolyn Shepherd,2,0.0,0.0
Göta kanal collection,1,0.0,0.0
Hababam Sınıfı,4,0.0,0.0
Hailey Dean Mystery,1,0.0,0.0
Half Past Dead,2,0.0,0.0
Halloween (Rob Zombie Series),2,59837688.0,119675375.0
Halloween,8,30896007.0,247168056.0
Halloweentown,4,0.0,0.0
Hamilton,4,785691.0,3142763.0
Hanzo the Razor,3,0.0,0.0
Happily N'Ever After,2,19042889.0,38085778.0
Happy Feet,2,267371037.0,534742074.0
"Hard Revenge, Milly",2,0.0,0.0
Hard Target,2,37094838.0,74189677.0
Hard Time,1,0.0,0.0
Hardbodies,2,0.0,0.0
Harold & Kumar,3,34272414.0,102817243.0
Harry Palmer,4,0.0,0.0
Harry Potter,8,963420928.0,7707367425.0
Hatchet,3,17535.0,52604.0
Hate Story,3,0.0,0.0
Havoc,2,0.0,0.0
Hayride,1,0.0,0.0
He Who Dares,1,0.0,0.0
Heart of Gold,3,14614137.0,43842412.0
"Heaven, Hell and Purgatory",2,0.0,0.0
Heavy Metal,2,0.0,0.0
Heidi (Praesens-Film) Filmreihe,1,0.0,0.0
Hellboy (Animated),3,0.0,0.0
Hellboy,2,129853525.0,259707050.0
Hellraiser,10,5586472.0,55864723.0
Henry Fool,3,444929.0,1334786.0
Henry: Portrait of a Serial Killer,2,0.0,0.0
Hentai Kamen,1,0.0,0.0
Hera Pheri,2,0.0,0.0
Herbie,6,11000334.0,66002004.0
Hercules (Lou Ferrigno),2,5338097.0,10676194.0
Hercules TV Movies,5,0.0,0.0
Herr Lehmann Filmreihe,2,0.0,0.0
Hidden,2,0.0,0.0
High School Musical,3,2333333.0,7000000.0
Highlander,5,14819990.0,74099948.0
Hitman,2,90966602.0,181933203.0
Hollow Man,2,95106728.0,190213455.0
Home Alone,5,182951774.0,914758871.0
Homeward Bound,2,16354712.0,32709423.0
Honey,3,20882254.0,62646763.0
"Honey, I Shrunk the Kids",3,93795541.0,281386624.0
Hoodwinked!,2,32287808.0,64575616.0
Hooked,2,2999382.0,5998765.0
Hopalong Cassidy films,1,0.0,0.0
Hornblower,2,0.0,0.0
Horrible Bosses,2,112335178.0,224670357.0
Horror High,1,0.0,0.0
Hostel,3,38732818.0,116198455.0
Hot Shots!,2,157424494.0,314848989.0
Hot Tub Time Machine,2,38443456.0,76886913.0
Hot Wheels: AcceleRacers -,1,0.0,0.0
Hotel Transylvania,2,415801280.0,831602561.0
House,4,2384724.0,9538897.0
House Party,4,6596500.0,26386000.0
House of 1000 Corpses,2,8414772.0,16829545.0
House of Angels,1,0.0,0.0
House of the Dead,2,6909090.0,13818181.0
House on Haunted Hill,2,20423041.0,40846082.0
Housefull,3,0.0,0.0
How I Unleashed World War II,1,0.0,0.0
How to Train Your Dragon,2,552000904.0,1104001807.0
I Am Curious,2,0.0,0.0
I Know What You Did Last Summer,3,55196082.0,165588246.0
I Love a Mystery movie series,1,0.0,0.0
I Spit on Your Grave (Original),1,0.0,0.0
I Spit on Your Grave,3,191206.0,573618.0
I due carabinieri Collecion,1,0.0,0.0
I pompieri - Collezione,1,0.0,0.0
I soliti idioti,1,0.0,0.0
Ice Age,5,643341711.0,3216708553.0
If I Were You,2,0.0,0.0
If These Walls Could Talk,2,0.0,0.0
If You Are the One (Collection),1,0.0,0.0
Il Maresciallo Giraldi,10,0.0,0.0
Il medico della mutua,1,0.0,0.0
Il tassinaro,1,0.0,0.0
"Ilsa, She Wolf of the SS",4,0.0,0.0
Immaturi,1,0.0,0.0
"Impy, the small dinosaur",2,0.0,0.0
In China They Eat Dogs,2,0.0,0.0
In the Line of Duty,1,0.0,0.0
In the Name of the King,3,0.0,0.0
In the Vineyard,1,0.0,0.0
Independence Day,3,402217068.0,1206651203.0
Indiana Jones,4,495933452.0,1983733810.0
Infernal Affairs,3,2902977.0,8708932.0
Inner Sanctum mysteries,5,0.0,0.0
Inoshika Ocho series,2,0.0,0.0
Insidious,3,67104334.0,201313001.0
Inspector Gadget,2,0.0,0.0
Into the Blue,2,22217220.0,44434439.0
Inuyasha,1,0.0,0.0
Ip Man,3,71577784.0,214733351.0
Iron Eagle,4,0.0,0.0
Iron Man,3,808182516.0,2424547547.0
Iron Sky,2,4067516.0,8135031.0
Ironclad,2,0.0,0.0
Isi/Disi,1,0.0,0.0
It's Alive,3,0.0,0.0
Ivan Brovkin,1,0.0,0.0
Ivan The Terrible,2,0.0,0.0
Ivan Tsarevich & the Grey Wolf,3,9241333.0,27724000.0
Jack Frost,2,0.0,0.0
Jack Reacher,2,190243336.0,380486671.0
Jackass,7,58016690.0,406116832.0
James Bond,26,273345009.0,7106970239.0
Jarhead,3,32296666.0,96889998.0
Jeepers Creepers,2,61160228.0,122320455.0
Jesse Stone,9,0.0,0.0
Jingle All the Way,2,64916194.0,129832389.0
Joe Dirt,2,15493848.0,30987695.0
Johan Falk,3,0.0,0.0
Johan Falk GSI,12,0.0,0.0
John Pinette,2,0.0,0.0
John Wick,2,130150774.0,260301548.0
Johnny English,2,160330802.0,320661604.0
Johnny Tsunami,2,0.0,0.0
Joséphine - Saga,1,0.0,0.0
Journey,2,228697410.0,457394820.0
Journey to the West,1,0.0,0.0
Joy Ride,3,12214279.0,36642838.0
Ju-on,7,0.0,0.0
Jump Street,2,195013471.0,390026942.0
Jungle Jim,3,0.0,0.0
Jungledyret Hugo,3,0.0,0.0
Jurassic Park,4,757871036.0,3031484143.0
Justice League (Animated),4,1288831.0,5155325.0
Justice League,1,0.0,0.0
Jönsson Gang,8,0.0,0.0
K-9,3,26082549.0,78247647.0
K3 Collectie,1,0.0,0.0
Karas The,1,0.0,0.0
Karlson,2,0.0,0.0
Kathleen Madigan,1,0.0,0.0
Kati,1,0.0,0.0
Keinohrhasen Filmreihe,2,65011724.0,130023447.0
Kenji Misumi's Trilogy of the Sword,1,0.0,0.0
Kenny Rogers Legend Of The Gambler,2,0.0,0.0
Kevin Smith: Silent Bob Speaks!,6,0.0,0.0
Kick-Ass,2,78444452.0,156888903.0
Kickboxer,6,2657953.0,15947717.0
Kidulthood,2,82500.0,165000.0
Kiler,2,0.0,0.0
Kill Bill,2,166554230.0,333108461.0
Kill Buljo,1,0.0,0.0
Killer Crocodile,1,0.0,0.0
Killer Tomatoes!,4,0.0,0.0
Killjoy,3,0.0,0.0
Kim Possible,1,0.0,0.0
